id,n_pedestrians,n_pedestrians_towards,n_pedestrians_away,Usage
spiegelstrasse_2025-02-16_14,564,339,225,Private
spiegelstrasse_2025-02-16_15,733,361,372,Private
spiegelstrasse_2025-02-16_16,649,323,326,Private
spiegelstrasse_2025-02-16_17,570,290,280,Private
spiegelstrasse_2025-02-16_18,367,210,157,Private
spiegelstrasse_2025-02-16_19,335,171,164,Private
spiegelstrasse_2025-02-16_20,222,122,100,Private
spiegelstrasse_2025-02-16_21,147,92,55,Private
spiegelstrasse_2025-02-16_22,90,50,40,Private
spiegelstrasse_2025-02-16_23,29,18,11,Private
